locality_id,locality_name,schools
6480,NATIMUK,1
7645,MELTON WEST,7
9572,COHUNA,3
10371,FOSTER,2
6815,ALPHINGTON,3
7030,CAULFIELD NORTH,4
9068,LOWER PLENTY,1
8744,TATURA,2
10142,MORIAC,1
9070,ELTHAM NORTH,4
7243,LANGWARRIN SOUTH,2
7273,WENDOUREE,5
10208,BAYSWATER,5
7641,HASTINGS,4
9327,MARLO,1
6698,CASTERTON,3
9494,UPPER FERNTREE GULLY,1
6942,WARRANWOOD,2
7279,ST ALBANS,13
8174,WARRAGUL,8
10014,BELLFIELD,1
6390,LAKE BOLAC,1
9978,THE BASIN,3
7134,FRANKSTON SOUTH,3
10061,WILLOW GROVE,1
10143,BIRREGURRA,1
9584,RUTHERGLEN,3
9681,COLBINABBIN,1
6715,WYCHEPROOF,1
7591,CARRUM DOWNS,4
6916,ABBOTSFORD,2
7109,CAMPBELLFIELD,1
9815,BANNOCKBURN,1
9753,BRUNSWICK,4
9251,FORREST,1
9298,MELBOURNE,7
6641,KANIVA,1
9001,MITTA MITTA,1
7593,CASTLEMAINE,5
6983,FERNY CREEK,1
9708,LEOPOLD,1
8599,BROADFORD,2
7500,MACCLESFIELD,1
9971,BORONIA,5
6984,CAIRNLEA,1
6505,WANTIRNA SOUTH,7
7617,FRANKSTON,15
8211,MILAWA,1
9254,RIDDELLS CREEK,1
7014,WESTMEADOWS,1
8769,POMONAL,1
7541,TEMPLESTOWE,3
9759,COBURG NORTH,2
10070,MULGRAVE,5
9844,APOLLO BAY,1
6867,GOLDEN POINT,1
7846,POOWONG,1
9152,TOORAK,4
10297,MOONEE PONDS,3
10465,CORIO,3
10160,BALLIANG EAST,1
6753,CHILTERN,2
6485,HOPETOUN,2
8250,LANDSBOROUGH,1
6670,UNDERBOOL,1
9053,TAWONGA,1
9646,LALOR,8
9803,COIMADAI,1
8974,PORT FAIRY,2
10091,DONCASTER,4
6725,AIRPORT WEST,2
7900,LANGWARRIN,5
9838,SIMPSON,1
10349,KILSYTH,4
10144,RYE,1
9930,KINGLAKE WEST,1
10436,NOBLE PARK,8
10411,MERNDA,4
9862,UNDERA,1
9171,PORTLAND,8
7461,BEACONSFIELD UPPER,1
7631,CHUM CREEK,1
7101,BULLARTO,1
10353,EAGLE POINT,1
8868,PYALONG,1
9819,WOORI YALLOCK,1
9488,BARANDUDA,3
10206,SUNSHINE WEST,7
6724,NOORINBEE,1
7687,BROKEN CREEK,1
6934,BOX HILL SOUTH,2
9569,MURRABIT,1
7729,EAST GEELONG,1
8083,TALBOT,1
9827,WOODEND,2
8590,FALLS CREEK,1
8666,ARARAT,6
10086,AIRLY,1
10054,IVANHOE,5
10027,DEVON NORTH,1
6936,CHELSEA HEIGHTS,1
9954,VERMONT,4
9390,MIRBOO NORTH,2
9939,KINGLAKE CENTRAL,1
9539,RED CLIFFS,5
9985,YALLOURN NORTH,1
7065,CABARITA,1
7313,WOODFORD,1
9260,KEILOR LODGE,1
